listing_id,address,suburb,state,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,latitude,longitude,sale_date,sale_method,sale_price,source_url,source_file,source_page,expected_suburb
2020577430,57 Oberon Street,Randwick,NSW,2031,House,3,2,1,,-33.924232,151.24313,2026-03-18,prior to auction,2665000,https://www.domain.com.au/57-oberon-street-randwick-nsw-2031-2020577430,randwick2.html,2,Randwick
2020597501,151 Rainbow Street,Randwick,NSW,2031,House,4,3,2,257,-33.925976,151.24054,2026-03-27,at auction,3075000,https://www.domain.com.au/151-rainbow-street-randwick-nsw-2031-2020597501,randwick2.html,2,Randwick
2020604264,6 Stanley Street,Randwick,NSW,2031,House,5,3,4,415,-33.907238,151.24214,2026-03-14,at auction,5065000,https://www.domain.com.au/6-stanley-street-randwick-nsw-2031-2020604264,randwick2.html,2,Randwick
2020606033,110 Oberon,Randwick,NSW,2031,House,4,3,2,468,-33.925125,151.24635,2026-04-13,by private treaty,6100000,https://www.domain.com.au/110-oberon-randwick-nsw-2031-2020606033,randwick2.html,2,Randwick
2020615654,13 Waverley Street,Randwick,NSW,2031,House,2,1,,132,-33.908253,151.24123,2026-03-21,at auction,2110000,https://www.domain.com.au/13-waverley-street-randwick-nsw-2031-2020615654,randwick2.html,2,Randwick
2020624252,4 Astolat Street,Randwick,NSW,2031,House,4,3,1,,-33.908077,151.24492,2026-03-15,at auction,5000000,https://www.domain.com.au/4-astolat-street-randwick-nsw-2031-2020624252,randwick2.html,2,Randwick
2020650435,1 Helena Street,Randwick,NSW,2031,House,4,2,2,446,-33.925037,151.24008,2026-03-12,prior to auction,3220000,https://www.domain.com.au/1-helena-street-randwick-nsw-2031-2020650435,randwick2.html,2,Randwick
2020653620,36 Cowper Street,Randwick,NSW,2031,House,4,2,1,500,-33.90915,151.23761,2026-04-20,at auction,4000000,https://www.domain.com.au/36-cowper-street-randwick-nsw-2031-2020653620,randwick2.html,2,Randwick
2020662660,5 Mort Street,Randwick,NSW,2031,House,5,4,1,,-33.9049,151.23874,2026-03-20,at auction,8005000,https://www.domain.com.au/5-mort-street-randwick-nsw-2031-2020662660,randwick2.html,2,Randwick
2020674724,2 Sydney Street,Randwick,NSW,2031,House,3,2,2,380,-33.908676,151.24164,2026-03-05,by private treaty,6000000,https://www.domain.com.au/2-sydney-street-randwick-nsw-2031-2020674724,randwick2.html,2,Randwick
2020676440,57 St Marks Road,Randwick,NSW,2031,House,2,1,,,-33.91216,151.24666,2026-03-23,prior to auction,2490000,https://www.domain.com.au/57-st-marks-road-randwick-nsw-2031-2020676440,randwick2.html,2,Randwick
2020676722,Terrace 2/16 Botany Street,Randwick,NSW,2031,Terrace,3,2,2,,-33.91384,151.2369,2026-04-02,prior to auction,3425000,https://www.domain.com.au/terrace-2-16-botany-street-randwick-nsw-2031-2020676722,randwick2.html,2,Randwick
2020680084,198 Clovelly Road,Randwick,NSW,2031,House,4,2,1,,-33.91128,151.25264,2026-03-20,at auction,4225000,https://www.domain.com.au/198-clovelly-road-randwick-nsw-2031-2020680084,randwick2.html,2,Randwick
2020688165,9 Hay Street,Randwick,NSW,2031,House,5,3,2,408,-33.92012,151.23679,2026-04-09,prior to auction,3460000,https://www.domain.com.au/9-hay-street-randwick-nsw-2031-2020688165,randwick2.html,2,Randwick
2020747986,225B Rainbow Street,Randwick,NSW,2031,House,4,3,1,,-33.926697,151.24582,2026-04-20,at auction,3580000,https://www.domain.com.au/225b-rainbow-street-randwick-nsw-2031-2020747986,randwick2.html,2,Randwick
2020779742,7 Chiltern Street,Randwick,NSW,2031,House,3,3,2,5478,-33.92303,151.23624,2026-04-21,by private treaty,3150000,https://www.domain.com.au/7-chiltern-street-randwick-nsw-2031-2020779742,randwick2.html,2,Randwick
2020889445,3 Park Avenue,Randwick,NSW,2031,House,4,2,1,,-33.9046,151.24942,2026-03-05,by private treaty,4600000,https://www.domain.com.au/3-park-avenue-randwick-nsw-2031-2020889445,randwick2.html,2,Randwick
2021036035,224 Alison Road,Randwick,NSW,2031,House,9,5,2,574,-33.913177,151.2439,2026-03-11,by private treaty,5300000,https://www.domain.com.au/224-alison-road-randwick-nsw-2031-2021036035,randwick2.html,2,Randwick
2020247084,71 Pitt Street,Parramatta,NSW,2150,House,6,2,5,455,-33.826115,150.99406,2025-09-27,at auction,1771000,https://www.domain.com.au/71-pitt-street-parramatta-nsw-2150-2020247084,Parrametta1.html,1,Parramatta
2020287315,42 Morton Street,Parramatta,NSW,2150,SemiDetached,5,3,2,,-33.809555,151.01825,2025-11-17,by private treaty,2125000,https://www.domain.com.au/42-morton-street-parramatta-nsw-2150-2020287315,Parrametta1.html,1,Parramatta
2020289692,7A Irving Street,Parramatta,NSW,2150,House,5,3,2,462,-33.81073,151.0213,2025-12-09,by private treaty,1680000,https://www.domain.com.au/7a-irving-street-parramatta-nsw-2150-2020289692,Parrametta1.html,1,Parramatta
2020292886,1 Irving Street,Parramatta,NSW,2150,House,3,2,3,942,-33.81121,151.02153,2025-10-28,by private treaty,2650000,https://www.domain.com.au/1-irving-street-parramatta-nsw-2150-2020292886,Parrametta1.html,1,Parramatta
2020318854,131A Victoria Road,Parramatta,NSW,2150,House,3,2,2,343,-33.808956,151.01866,2025-11-08,by private treaty,1230000,https://www.domain.com.au/131a-victoria-road-parramatta-nsw-2150-2020318854,Parrametta1.html,1,Parramatta
2020324677,58 Crimea Street,Parramatta,NSW,2150,House,3,2,2,613,-33.822952,150.994,2026-02-09,by private treaty,1620000,https://www.domain.com.au/58-crimea-street-parramatta-nsw-2150-2020324677,Parrametta1.html,1,Parramatta
2020353724,38 Inkerman Street,Parramatta,NSW,2150,House,3,2,4,698,-33.823643,151.00058,2025-11-15,at auction,2010500,https://www.domain.com.au/38-inkerman-street-parramatta-nsw-2150-2020353724,Parrametta1.html,1,Parramatta
2020416836,25 Lansdowne Street,Parramatta,NSW,2150,House,3,1,2,,-33.822258,151.00177,2025-12-13,at auction,1500000,https://www.domain.com.au/25-lansdowne-street-parramatta-nsw-2150-2020416836,Parrametta1.html,1,Parramatta
2020418375,7 Trott Street,Parramatta,NSW,2150,House,2,1,2,,-33.80574,151.00323,2025-12-06,at auction,1150000,https://www.domain.com.au/7-trott-street-parramatta-nsw-2150-2020418375,Parrametta1.html,1,Parramatta
2020421139,1 Auburn Street,Parramatta,NSW,2150,House,3,2,1,717,-33.826157,150.99384,2025-12-03,prior to auction,1500000,https://www.domain.com.au/1-auburn-street-parramatta-nsw-2150-2020421139,Parrametta1.html,1,Parramatta
